country,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5
Afghanistan,"1.13 
 (0.86 to 1.43)","1.55 
 (1.18 to 2.59)","0.84 
 (0.68 to 1.11)","0.14 
 (0.11 to 0.19)","0.01 
 (0.01 to 0.01)"
Albania,"43.19 
 (40.32 to 47.29)","48.00 
 (44.54 to 53.82)","21.76 
 (20.30 to 23.94)","10.15 
 (9.50 to 11.14)","0.34 
 (0.32 to 0.37)"
United Arab Emirates,"77.95 
 (71.23 to 88.56)","99.59 
 (88.56 to 129.77)","99.01 
 (88.02 to 128.83)","1.34 
 (1.11 to 1.66)","0.32 
 (0.29 to 0.37)"
Argentina,"123.27 
 (115.88 to 132.52)","146.10 
 (135.38 to 165.52)","6.00 
 (5.71 to 6.50)","1.30 
 (1.23 to 1.40)","0.14 
 (0.13 to 0.15)"
Armenia,"3.36 
 (2.59 to 4.32)","2.23 
 (1.72 to 2.97)","1.07 
 (0.83 to 1.43)","0.43 
 (0.33 to 0.57)","0.01 
 (0.01 to 0.02)"
Australia,"0.19 
 (0.15 to 0.28)","0.20 
 (0.16 to 0.29)","0.21 
 (0.16 to 0.29)","0.07 
 (0.05 to 0.09)","0.01 
 (0.00 to 0.01)"
Austria,"9.80 
 (5.96 to 13.93)","8.07 
 (4.91 to 11.88)","3.60 
 (2.24 to 5.24)","0.78 
 (0.49 to 1.13)","0.04 
 (0.03 to 0.06)"
Azerbaijan,"23.41 
 (20.32 to 27.09)","24.56 
 (21.37 to 29.50)","15.14 
 (13.70 to 17.10)","7.66 
 (6.98 to 8.69)","0.33 
 (0.30 to 0.37)"
Burundi,"0.02 
 (-0.07 to 0.03)","0.04 
 (0.04 to 0.06)","0.03 
 (0.03 to 0.04)","0.07 
 (0.07 to 0.08)","0.07 
 (0.06 to 0.08)"
Belgium,"25.76 
 (22.81 to 28.86)","24.90 
 (21.79 to 28.13)","6.31 
 (5.51 to 7.15)","1.14 
 (1.00 to 1.29)","0.08 
 (0.07 to 0.09)"
Benin,"21.70 
 (10.71 to 23.44)","28.94 
 (26.31 to 36.20)","6.28 
 (6.03 to 6.96)","0.78 
 (0.75 to 0.86)","0.06 
 (0.06 to 0.07)"
Burkina Faso,"15.92 
 (12.05 to 17.06)","22.49 
 (20.22 to 30.11)","10.15 
 (9.51 to 11.18)","0.29 
 (0.27 to 0.32)","0.10 
 (0.10 to 0.11)"
Bangladesh,"46.60 
 (42.70 to 49.84)","60.56 
 (52.79 to 75.98)","10.39 
 (9.55 to 11.34)","1.93 
 (1.78 to 2.11)","0.13 
 (0.12 to 0.15)"
Bulgaria,"12.83 
 (11.93 to 14.66)","14.03 
 (12.66 to 16.51)","5.11 
 (4.72 to 5.86)","2.02 
 (1.86 to 2.31)","0.06 
 (0.05 to 0.07)"
Bahrain,"38.78 
 (35.76 to 45.35)","48.41 
 (43.09 to 61.34)","7.87 
 (7.31 to 8.81)","1.31 
 (1.21 to 1.46)","0.12 
 (0.11 to 0.14)"
Brazil,"6.49 
 (4.48 to 8.79)","8.11 
 (5.91 to 11.00)","1.04 
 (0.71 to 1.39)","0.61 
 (0.42 to 0.82)","0.03 
 (0.02 to 0.04)"
Bhutan,"45.05 
 (38.59 to 63.06)","61.72 
 (50.16 to 84.20)","3.63 
 (3.03 to 4.05)","0.70 
 (0.59 to 0.79)","0.07 
 (0.06 to 0.08)"
Central African Republic,"4.93 
 (3.23 to 5.66)","8.01 
 (6.33 to 12.37)","4.35 
 (3.56 to 5.17)","0.31 
 (0.24 to 0.38)","0.08 
 (0.06 to 0.09)"
Canada,"1.81 
 (1.38 to 2.46)","2.10 
 (1.65 to 2.82)","1.44 
 (1.07 to 1.97)","0.41 
 (0.30 to 0.55)","0.04 
 (0.03 to 0.05)"
Switzerland,"8.58 
 (7.02 to 10.76)","10.51 
 (8.77 to 13.42)","6.48 
 (5.33 to 8.12)","2.27 
 (1.82 to 2.85)","0.13 
 (0.11 to 0.16)"
Chile,"0.02 
 (0.02 to 0.03)","0.03 
 (0.03 to 0.04)","0.01 
 (0.01 to 0.01)","0.00 
 (0.00 to 0.00)","0.00 
 (0.00 to 0.00)"
China,"6.81 
 (4.75 to 9.32)","8.66 
 (6.36 to 14.22)","1.90 
 (1.34 to 2.61)","0.85 
 (0.59 to 1.17)","0.02 
 (0.01 to 0.03)"
Cameroon,"34.32 
 (24.08 to 37.22)","52.71 
 (44.58 to 72.63)","10.01 
 (8.83 to 11.84)","0.77 
 (0.69 to 0.91)","0.14 
 (0.12 to 0.16)"
DR Congo,"17.07 
 (10.12 to 19.51)","26.52 
 (20.52 to 39.02)","4.67 
 (4.01 to 5.34)","0.03 
 (0.03 to 0.04)","0.03 
 (0.03 to 0.04)"
Colombia,"27.14 
 (24.69 to 31.31)","26.44 
 (23.90 to 30.65)","5.35 
 (4.86 to 6.13)","2.26 
 (2.06 to 2.59)","0.07 
 (0.07 to 0.08)"
Cuba,"0.94 
 (0.73 to 1.21)","1.13 
 (0.89 to 1.40)","1.01 
 (0.79 to 1.24)","0.76 
 (0.59 to 0.93)","0.05 
 (0.04 to 0.06)"
Czech Republic,"13.02 
 (11.19 to 14.70)","12.36 
 (10.19 to 14.86)","4.50 
 (3.88 to 5.17)","2.48 
 (2.14 to 2.85)","0.09 
 (0.07 to 0.10)"
Germany,"15.20 
 (11.49 to 18.52)","13.49 
 (9.85 to 16.75)","6.65 
 (4.90 to 8.33)","2.77 
 (2.06 to 3.46)","0.07 
 (0.06 to 0.09)"
Denmark,"0.09 
 (0.05 to 0.18)","0.10 
 (0.05 to 0.18)","0.06 
 (0.04 to 0.12)","0.02 
 (0.01 to 0.05)","0.00 
 (0.00 to 0.00)"
Dominican Republic,"37.27 
 (34.45 to 40.58)","42.64 
 (38.28 to 48.50)","8.38 
 (7.71 to 9.25)","3.37 
 (3.09 to 3.73)","0.15 
 (0.14 to 0.17)"
Algeria,"38.18 
 (35.94 to 42.71)","43.49 
 (40.67 to 50.05)","4.40 
 (4.16 to 4.93)","1.48 
 (1.40 to 1.66)","0.08 
 (0.07 to 0.09)"
Ecuador,"25.55 
 (24.00 to 27.64)","32.71 
 (30.18 to 37.32)","5.53 
 (5.10 to 6.19)","0.77 
 (0.71 to 0.86)","0.11 
 (0.10 to 0.12)"
Egypt,"19.40 
 (11.78 to 24.36)","20.48 
 (12.29 to 27.77)","5.00 
 (3.04 to 6.35)","1.55 
 (0.95 to 1.99)","0.10 
 (0.05 to 0.12)"
Spain,"18.82 
 (17.44 to 23.13)","19.52 
 (18.05 to 23.92)","1.20 
 (1.13 to 1.45)","0.55 
 (0.51 to 0.66)","0.01 
 (0.01 to 0.01)"
Estonia,"16.42 
 (15.12 to 18.62)","16.66 
 (15.13 to 19.02)","7.40 
 (6.81 to 8.35)","2.74 
 (2.53 to 3.06)","0.19 
 (0.18 to 0.21)"
Ethiopia,"8.20 
 (6.97 to 9.45)","11.74 
 (9.96 to 16.27)","4.50 
 (3.79 to 5.28)","0.43 
 (0.36 to 0.50)","0.08 
 (0.07 to 0.09)"
Finland,"2.51 
 (1.60 to 4.72)","2.42 
 (1.65 to 4.71)","1.67 
 (1.13 to 3.18)","0.26 
 (0.18 to 0.48)","0.01 
 (0.01 to 0.03)"
Fiji,"0.27 
 (0.00 to 0.32)","0.18 
 (0.00 to 0.22)","0.06 
 (0.00 to 0.07)","0.02 
 (0.00 to 0.03)","0.00 
 (0.00 to 0.00)"
France,"4.67 
 (2.03 to 7.79)","3.89 
 (1.84 to 6.42)","1.97 
 (0.98 to 3.25)","0.79 
 (0.40 to 1.31)","0.02 
 (0.01 to 0.04)"
Gabon,"27.62 
 (19.61 to 32.01)","40.49 
 (35.79 to 56.86)","4.40 
 (3.94 to 5.03)","2.40 
 (2.21 to 2.65)","1.16 
 (1.06 to 1.29)"
United Kingdom,"0.06 
 (0.04 to 0.12)","0.07 
 (0.05 to 0.12)","0.05 
 (0.03 to 0.08)","0.01 
 (0.01 to 0.02)","0.00 
 (0.00 to 0.00)"
Georgia,"5.69 
 (2.75 to 9.54)","4.78 
 (2.61 to 7.85)","3.60 
 (2.01 to 5.88)","3.06 
 (1.77 to 4.90)","0.68 
 (0.55 to 0.86)"
Ghana,"nan 
 (nan to nan)","68.04 
 (56.05 to 75.29)","15.42 
 (14.68 to 16.60)","2.24 
 (2.15 to 2.43)","0.19 
 (0.19 to 0.21)"
Gambia,"9.08 
 (6.02 to 28.62)","17.51 
 (13.49 to 28.34)","8.08 
 (7.28 to 9.12)","0.36 
 (0.34 to 0.40)","0.10 
 (0.09 to 0.11)"
Greece,"34.61 
 (32.25 to 41.37)","35.38 
 (32.83 to 42.86)","8.37 
 (7.53 to 9.95)","3.00 
 (2.72 to 3.56)","0.08 
 (0.07 to 0.10)"
Croatia,"8.94 
 (7.61 to 10.32)","9.01 
 (7.41 to 10.54)","4.22 
 (3.53 to 4.95)","1.84 
 (1.55 to 2.14)","0.05 
 (0.04 to 0.06)"
Hungary,"18.37 
 (16.43 to 20.52)","19.51 
 (17.23 to 22.12)","3.47 
 (3.10 to 3.96)","0.87 
 (0.78 to 0.99)","0.06 
 (0.06 to 0.07)"
Indonesia,"26.61 
 (nan to 29.73)","46.29 
 (36.46 to 60.84)","16.89 
 (15.41 to 18.95)","1.01 
 (0.92 to 1.13)","0.11 
 (0.10 to 0.12)"
India,"28.76 
 (-65.85 to 31.79)","48.36 
 (39.23 to 64.97)","14.95 
 (13.37 to 16.73)","2.47 
 (2.19 to 2.82)","0.11 
 (0.10 to 0.12)"
Ireland,"28.47 
 (22.59 to 33.56)","26.55 
 (20.59 to 31.76)","16.44 
 (13.17 to 19.95)","2.91 
 (2.37 to 3.56)","0.24 
 (0.20 to 0.29)"
Iran,"6.31 
 (4.91 to 8.40)","7.72 
 (6.16 to 12.41)","1.18 
 (0.93 to 1.56)","0.59 
 (0.46 to 0.78)","0.02 
 (0.02 to 0.03)"
Iraq,"45.56 
 (42.36 to 49.58)","59.08 
 (53.04 to 71.15)","38.11 
 (34.57 to 41.92)","0.82 
 (0.70 to 0.96)","0.11 
 (0.10 to 0.12)"
