country,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5
Afghanistan,1957.354757,924.927304,2095.025458,13618.51818,205909.0078
Albania,-3215.986945,-3271.404035,-3415.419376,238.7077204,208441.0728
United Arab Emirates,-35138.11626,-35638.46941,-35623.10035,244326.138,1233467.538
Argentina,-2201.169263,-2897.173877,6956.48964,52001.2475,487924.8833
Armenia,23001.49483,22428.73114,45240.81793,103004.5121,3332167.004
Australia,1925654.04,1767039.522,1412897.646,4415266.346,94567885.69
Austria,11081.02439,18779.40019,63108.12922,362913.1916,7537139.824
Azerbaijan,-2315.598235,-2299.12833,-2547.197384,51.03200842,123509.9824
Burundi,110195.608,30917.12776,62327.75099,35285.34005,18199.76686
Belgium,-13127.15474,-13067.93504,14722.83104,181715.9084,2928205.235
Benin,508.0608485,-9.823491042,1335.32261,12809.1909,150571.2238
Burkina Faso,330.3929983,-23.33292464,405.8842753,22391.4405,57758.36023
Bangladesh,293.3790978,-12.25514533,1002.963723,6162.961686,85987.85806
Bulgaria,-2278.568212,-3153.174666,2728.400056,16831.42476,853561.7161
Bahrain,-5779.048182,-8645.820655,12404.76871,151961.0367,1750868.644
Brazil,5605.299887,3506.936244,25986.35241,44443.32668,966830.5974
Bhutan,-295.1550668,-466.4971429,2483.986381,16669.86908,194013.0724
Central African Republic,406.1805988,128.4642307,318.3337324,5561.792844,24745.51358
Canada,191054.23,138907.882,212380.8938,738388.9258,9049767.23
Switzerland,43340.72613,18247.07819,69213.91749,238589.7437,4405220.597
Chile,2331498.891,1455573.005,5212206.492,14086851.33,147574959.5
China,13231.13377,6516.048136,36738.35152,85587.64497,6426404.59
Cameroon,126.7850562,-229.8458199,-407.4035887,15625.29968,93864.95702
DR Congo,198.0558605,63.45044868,565.9435248,135069.5688,61768.13476
Colombia,-5297.59968,-5123.379127,1439.948686,16669.69312,818977.2969
Cuba,60958.7728,40601.61648,40761.72333,54732.62677,857630.875
Czech Republic,-5439.474839,-4344.27096,29539.59349,69355.69142,2735463.685
Germany,-4339.601187,-3092.409437,11971.74369,54956.92403,2697065.956
Denmark,2682830.673,2256029.09,3419945.97,8770079.808,-494798486.7
Dominican Republic,-1302.138022,-1487.115487,2079.057039,10151.37913,309083.0627
Algeria,-1860.351884,-1988.057468,5199.61855,23000.41589,503777.7213
Ecuador,365.5255035,-669.4282606,7906.099102,66191.10186,479632.7151
Egypt,-1190.588967,-1130.398615,830.238939,6414.221141,120355.4026
Spain,-7748.194488,-8039.899308,157151.7997,369117.0087,30042492.57
Estonia,-7577.338031,-7964.985928,30.61117431,24730.11019,569716.2528
Ethiopia,1176.42689,479.8849479,1600.042656,24020.17774,128726.2296
Finland,203407.0038,161493.1064,249292.258,1708840.915,76096909.58
Fiji,123993.5427,152179.6443,609515.0186,1620953.909,38448535.93
France,28765.50897,31708.7659,69927.92355,198667.1924,7318477.326
Gabon,-1885.168914,-3660.653541,8403.007608,28301.65705,44745.7078
United Kingdom,11936506.81,10461846.56,17346424.88,65284373.73,-247161431.4
Georgia,3758.476095,4023.740059,6409.402602,8176.545254,51989.95491
Ghana,,-196.9462738,767.7690494,6753.065561,78152.52957
