country,PWID,PWID + Campaign,PWID + Campaign + Prison,PWID + Campaign + Prison + Schools,PWID + Campaign + Prison + Schools + Adults
ROU,16.544,18.263,7.359,3.309,0.099
UGA,14.106,21.589,1.007,0.132,0.052
PHL,39.728,53.247,1.964,0.273,0.037
COD,22.396,34.867,5.04,0.043,0.045
BRA,8.066,10.004,1.236,0.73,0.035
EST,21.386,21.488,9.618,3.602,0.252
NZL,0.088,0.095,0.051,0.02,0.001
BGD,53.237,69.1,11.663,2.168,0.15
MDG,3.438,5.06,0.718,0.131,0.009
DZA,53.871,61.258,6.104,2.055,0.106
NGA,1.95,2.966,1.62,0.172,0.02
TWN,14.466,16.598,2.088,1.264,0.037
CMR,6.542,9.629,1.905,0.143,0.026
JPN,4.511,5.142,2.868,0.816,0.015
MAR,30.647,35.193,5.002,2.582,0.143
RWA,0.556,0.91,2.592,0.706,0.134
BEL,30.668,29.568,7.366,1.329,0.088
ITA,14.783,12.901,8.696,4.508,0.113
IRL,33.546,31.108,18.8,3.33,0.269
TJK,8.636,14.354,4.272,1.227,0.229
PRT,29.887,33.649,5.997,2.045,0.054
USA,0.221,0.239,0.473,0.237,0.024
IND,31.858,53.564,16.337,2.703,0.121
ESP,23.015,23.884,1.478,0.67,0.015
LBY,122.14,159.832,22.196,3.964,0.658
MYS,0.097,0.13,0.059,0.012,0.001
HRV,11.756,11.738,5.276,2.301,0.064
GEO,6.583,5.517,4.144,3.531,0.803
DOM,41.474,47.361,9.282,3.74,0.17
CZE,16.91,15.758,5.696,3.148,0.108
VEN,57.564,71.536,20.167,7.366,0.363
NPL,14.946,15.477,11.874,2.834,0.116
MEX,74.455,92.386,12.23,5.138,0.222
CHE,10.199,12.467,7.716,2.705,0.15
JOR,38.227,50.909,5.803,2.181,0.141
IRQ,49.062,63.653,42.256,0.938,0.141
IDN,15.156,26.442,10.056,0.594,0.064
BEN,3.911,5.118,0.742,0.091,0.007
TCD,3.745,5.911,1.389,0.153,0.012
BTN,50.816,69.627,4.096,0.795,0.077
KAZ,19.675,30.828,25.391,6.081,0.579
DNK,0.109,0.114,0.075,0.029,0.001
GHA,,22.989,3.21,0.46,0.035
GAB,35.835,52.264,5.542,3.073,1.53
PNG,40.967,45.656,26.626,4.314,0.233
SAU,7.849,8.548,0.419,0.072,0.006
KEN,15.672,23.095,3.535,0.541,0.111
YEM,7.839,11.991,11.815,0.198,0.049
IRN,8.252,9.949,1.507,0.753,0.03
QAT,172.006,224.972,203.977,3.699,0.555
KOR,0.546,0.671,0.136,0.074,0.001
RUS,7.958,6.932,2.862,2.168,0.142
EGY,25.015,26.386,6.248,1.937,0.117
SVK,0.659,0.646,0.264,0.151,0.005
SLV,9.437,11.674,1.194,0.442,0.055
UKR,3.772,2.193,1.401,1.113,0.34
DEU,17.771,15.661,7.606,3.178,0.084
POL,0.195,0.142,0.105,0.076,0.004
KHM,30.663,36.401,7.207,0.638,0.102
ARG,142.872,169.322,6.996,1.511,0.163
COL,26.097,25.435,5.158,2.182,0.07
MLT,0.895,0.985,0.439,0.108,0.006
THA,20.837,31.567,1.614,1.053,0.054
PAK,2.382,4.898,2.109,0.47,0.141
ARE,89.494,114.668,114.003,1.588,0.421
BFA,4.91,6.85,2.527,0.064,0.018
LUX,55.865,56.532,35.081,17.117,0.573
SYR,41.04,56.168,6.689,0.24,0.227
PAN,4.442,5.422,0.362,0.121,0.016
GBR,0.076,0.082,0.053,0.014,0.001
ARM,3.938,2.611,1.246,0.5,0.015
UZB,44.706,54.255,7.102,0.584,0.134
LBN,2.81,3.926,1.117,0.393,0.018
AUT,11.545,9.438,4.165,0.906,0.048
CUB,1.038,1.236,1.093,0.821,0.053
VNM,15.344,18.606,8.998,2.851,0.095
ZAF,18.854,25.222,1.907,0.447,0.065
PER,16.505,17.494,1.985,0.274,0.028
FIN,2.962,2.842,1.938,0.298,0.017
AFG,1.477,1.995,1.053,0.178,0.012
CHL,0.026,0.034,0.01,0.004,0.0
SDN,52.172,66.104,65.923,1.055,0.341
TZA,0.08,0.202,0.091,0.009,0.002
MDA,83.025,123.511,33.942,13.685,0.605
FRA,5.503,4.564,2.275,0.919,0.027
AZE,27.891,29.182,17.59,8.933,0.382
KGZ,6.863,9.917,2.594,0.766,0.401
SVN,0.313,0.351,0.247,0.096,0.002
GMB,0.915,5.316,3.013,0.116,0.02
GRC,43.996,45.132,9.864,3.549,0.096
MNG,56.297,67.916,6.044,2.036,0.726
NLD,55.339,62.762,4.309,1.402,0.055
LTU,35.381,38.392,1.776,1.085,0.076
ISR,34.884,45.459,2.903,1.666,0.23
LVA,13.588,13.603,3.529,2.261,0.096
TUR,30.421,40.328,4.432,2.27,0.11
OMN,15.742,20.747,20.724,0.678,0.074
FJI,0.324,0.217,0.068,0.025,0.001
ETH,5.452,7.847,3.207,0.306,0.059
ECU,28.848,36.663,6.584,0.921,0.13
CAF,6.357,10.324,5.601,0.4,0.093
AUS,0.232,0.242,0.248,0.08,0.008
NOR,2.785,2.829,1.265,0.18,0.012
CHN,4.347,5.637,1.29,0.576,0.014
HUN,24.053,25.351,4.334,1.083,0.079
BHR,46.457,57.782,10.095,1.683,0.157
BDI,0.016,0.03,0.023,0.043,0.043
PRI,21.834,21.156,8.699,6.008,0.207
VUT,49.808,56.375,33.232,1.77,0.262
CAN,2.008,2.326,1.59,0.448,0.043
MOZ,3.912,5.457,2.536,0.091,0.024
ISL,1.78,1.674,1.167,0.123,0.008
TUN,68.891,90.288,6.185,3.275,0.189
ALB,56.363,62.458,27.65,12.996,0.429
BGR,18.156,19.984,7.089,2.817,0.082
SWE,37.94,43.635,13.263,1.916,0.172
