country,PWID,PWID + Campaign,PWID + Campaign + Prison,PWID + Campaign + Prison + Schools,PWID + Campaign + Prison + Schools + Adults
ROU,-0.081,-0.212,-0.082,-0.036,-0.001
UGA,1.229,1.67,0.005,0.001,0.0
PHL,8.911,12.582,0.083,0.011,0.001
COD,1.884,2.51,3.369,0.0,0.0
BRA,1.03,1.312,0.188,0.111,0.006
EST,1.034,0.964,0.403,0.145,0.01
NZL,0.012,0.013,0.007,0.003,-0.0
BGD,33.357,43.481,7.719,1.434,0.1
MDG,0.0,-0.0,0.0,0.0,0.0
DZA,-0.018,-0.03,-0.003,-0.001,-0.0
NGA,0.034,0.136,0.077,0.008,0.0
TWN,-0.016,-0.066,-0.004,-0.002,-0.0
CMR,3.121,4.354,-0.019,-0.001,-0.0
JPN,-0.002,-0.003,-0.002,-0.0,-0.0
MAR,-0.005,-0.009,-0.001,-0.001,-0.0
RWA,0.001,0.0,-0.073,-0.02,-0.004
BEL,2.186,2.002,0.525,0.095,0.007
ITA,1.409,1.221,0.889,0.454,0.011
IRL,2.739,2.532,1.957,0.348,0.032
TJK,-0.0,-0.001,-0.0,-0.0,-0.0
PRT,1.958,1.885,0.463,0.157,0.004
USA,-0.003,-0.003,-0.008,-0.004,-0.001
IND,21.942,36.888,11.839,1.951,0.088
ESP,0.987,0.975,0.067,0.03,0.0
LBY,-0.049,0.132,-0.459,-0.083,-0.016
MYS,-0.003,-0.004,-0.003,-0.001,-0.0
HRV,-0.003,-0.016,-0.012,-0.005,-0.0
GEO,-0.031,-0.033,-0.027,-0.023,-0.006
DOM,-0.103,-0.196,-0.037,-0.015,-0.001
CZE,-0.067,-0.122,-0.006,-0.003,-0.0
VEN,-0.131,1.55,0.032,0.011,-0.0
NPL,9.659,9.982,7.71,1.797,0.074
MEX,-0.312,-0.714,-0.092,-0.038,-0.002
CHE,0.398,0.496,0.062,0.027,0.007
JOR,-0.003,-0.011,0.001,0.001,0.0
IRQ,34.995,45.228,27.119,0.503,0.012
IDN,-0.005,0.03,-0.004,-0.0,-0.0
BEN,1.663,2.089,0.001,0.0,0.0
TCD,3.078,4.873,0.863,0.094,0.006
BTN,32.77,44.739,2.627,0.51,0.049
KAZ,-0.001,-0.001,-0.015,-0.004,-0.0
DNK,0.008,0.009,0.006,0.002,-0.0
GHA,,15.137,1.004,0.14,0.007
GAB,-0.0,-0.0,0.0,0.0,0.0
PNG,6.512,6.995,4.575,0.717,0.039
SAU,-0.005,-0.009,-0.0,-0.0,-0.0
KEN,-0.014,1.222,0.031,0.004,0.0
YEM,-0.0,1.724,1.697,0.022,0.001
IRN,-0.0,-0.001,-0.0,-0.0,-0.0
QAT,50.755,63.268,57.328,0.947,0.004
KOR,-0.002,-0.009,-0.004,-0.002,-0.0
RUS,0.442,0.373,0.153,0.115,0.008
EGY,-0.051,-0.115,0.048,0.015,-0.0
SVK,0.002,0.001,-0.001,-0.001,-0.0
SLV,-0.006,-0.012,-0.004,-0.001,-0.0
UKR,0.302,0.18,0.116,0.087,0.018
DEU,1.441,1.249,0.681,0.283,0.008
POL,0.001,0.001,0.001,0.0,-0.0
KHM,3.411,3.692,-0.074,-0.006,-0.001
ARG,6.731,7.293,-0.066,-0.014,-0.002
COL,-0.084,-0.088,-0.021,-0.009,-0.0
MLT,0.059,0.066,0.038,0.009,0.0
THA,-0.082,-0.651,-0.091,-0.059,-0.003
PAK,1.598,3.31,1.435,0.316,0.092
ARE,43.05,53.8,53.489,0.595,0.014
BFA,3.062,4.225,1.167,0.023,0.003
LUX,3.762,3.347,2.476,1.183,0.038
SYR,1.583,2.093,0.106,-0.0,-0.0
PAN,-0.002,-0.004,-0.0,-0.0,-0.0
GBR,0.007,0.008,0.006,0.001,-0.0
ARM,-0.001,-0.001,-0.001,-0.0,-0.0
UZB,-0.003,-0.007,-0.0,-0.0,-0.0
LBN,-0.0,-0.002,0.0,0.0,-0.0
AUT,0.638,0.509,0.266,0.058,0.003
CUB,-0.001,-0.002,-0.004,-0.003,-0.0
VNM,0.003,0.003,-0.0,-0.0,-0.0
ZAF,-0.001,-0.005,-0.0,-0.0,-0.0
PER,-0.001,-0.002,-0.0,-0.0,-0.0
