country,PWID,PWID + Campaign,PWID + Campaign + Prison,PWID + Campaign + Prison + Schools,PWID + Campaign + Prison + Schools + Adults
ROU,11.987,12.98,5.368,2.213,0.064
UGA,22.63,33.417,1.663,0.191,0.083
PHL,68.089,87.634,3.738,0.453,0.066
COD,17.07,25.208,4.71,0.033,0.035
BRA,6.489,7.829,1.164,0.644,0.031
EST,16.421,16.462,7.83,2.684,0.183
NZL,0.072,0.076,0.045,0.017,0.001
BGD,46.6,58.972,10.52,1.633,0.128
MDG,5.686,8.059,1.172,0.189,0.014
DZA,38.185,42.203,4.558,1.367,0.072
NGA,15.194,21.875,11.099,0.996,0.124
TWN,26.927,31.061,3.939,2.24,0.065
CMR,34.322,50.458,11.219,0.747,0.14
JPN,7.709,8.966,5.232,1.365,0.024
MAR,23.687,26.478,4.386,2.065,0.118
RWA,0.848,1.333,4.332,1.063,0.204
BEL,25.755,24.806,7.266,1.145,0.077
ITA,12.521,11.391,8.338,4.095,0.1
IRL,28.467,26.667,17.793,2.825,0.241
TJK,7.16,11.747,3.74,0.96,0.188
PRT,23.246,25.459,5.003,1.535,0.042
USA,0.2,0.204,0.458,0.221,0.023
IND,28.756,46.901,15.409,2.112,0.105
ESP,18.824,19.141,1.291,0.538,0.012
LBY,86.41,108.498,17.461,2.665,0.501
MYS,0.17,0.213,0.109,0.021,0.002
HRV,8.938,8.916,4.638,1.858,0.052
GEO,5.691,5.017,3.974,3.343,0.701
DOM,37.272,41.749,8.643,3.246,0.146
CZE,13.02,12.658,4.923,2.557,0.085
VEN,60.155,70.605,21.919,7.099,0.361
NPL,13.333,13.51,10.897,2.381,0.099
MEX,77.607,92.345,13.195,5.077,0.218
CHE,8.58,9.856,6.611,2.123,0.127
JOR,28.894,36.821,4.786,1.572,0.114
IRQ,45.558,56.733,37.968,0.731,0.11
IDN,26.612,45.047,17.427,0.88,0.101
BEN,21.697,28.32,6.347,0.663,0.059
TCD,8.835,13.386,4.599,0.439,0.045
BTN,45.05,59.652,3.74,0.634,0.064
KAZ,16.528,25.689,25.84,5.472,0.54
DNK,0.092,0.097,0.068,0.025,0.001
GHA,,68.647,15.587,1.879,0.185
GAB,27.62,39.09,4.558,2.327,1.157
PNG,32.256,34.855,22.031,3.071,0.176
SAU,5.887,6.59,0.373,0.059,0.005
KEN,26.186,36.399,5.938,0.777,0.175
YEM,5.663,7.715,7.622,0.122,0.035
IRN,6.306,7.821,1.283,0.595,0.023
QAT,140.877,176.317,162.257,2.601,0.414
KOR,0.975,1.197,0.269,0.134,0.003
RUS,6.177,5.617,2.498,1.833,0.113
EGY,19.395,19.934,5.567,1.501,0.097
SVK,0.509,0.521,0.239,0.129,0.004
SLV,9.839,11.698,1.537,0.518,0.064
UKR,3.021,1.969,1.303,0.989,0.263
DEU,15.205,13.736,7.507,2.912,0.077
POL,0.152,0.12,0.094,0.066,0.003
KHM,56.13,64.209,13.387,1.009,0.177
ARG,123.273,141.148,6.059,1.155,0.133
COL,27.138,26.287,5.987,2.368,0.074
MLT,0.756,0.837,0.416,0.095,0.006
THA,42.104,64.085,3.235,1.983,0.098
PAK,2.14,4.455,2.013,0.395,0.125
ARE,77.949,96.16,95.693,1.193,0.32
BFA,15.92,21.687,10.376,0.258,0.101
