country,PWID,PWID + Campaign,PWID + Campaign + Prison,PWID + Campaign + Prison + Schools,PWID + Campaign + Prison + Schools + Adults
ROU,14.106,15.694,6.857,3.051,0.091
UGA,22.63,34.642,1.657,0.217,0.086
PHL,68.089,90.11,3.684,0.513,0.069
COD,17.07,26.524,4.672,0.033,0.035
BRA,6.489,8.113,1.039,0.614,0.03
EST,19.53,19.927,10.072,3.728,0.26
NZL,0.087,0.094,0.051,0.02,0.001
BGD,46.6,60.563,10.389,1.931,0.134
MDG,5.686,8.378,1.176,0.215,0.015
DZA,38.185,43.488,4.399,1.479,0.077
NGA,15.194,22.939,10.861,1.16,0.129
TWN,30.702,37.886,5.2,3.152,0.092
CMR,34.322,52.709,10.006,0.772,0.136
JPN,9.033,10.459,6.247,1.785,0.032
MAR,23.687,27.352,4.038,2.086,0.122
RWA,0.848,1.39,3.639,0.992,0.184
BEL,27.231,26.356,6.824,1.23,0.082
ITA,13.413,11.825,8.911,4.608,0.115
IRL,29.025,27.068,16.839,2.982,0.245
TJK,7.16,11.895,3.609,1.032,0.191
PRT,24.746,28.201,5.966,2.032,0.053
USA,0.233,0.251,0.499,0.25,0.026
IND,28.756,48.357,14.951,2.471,0.111
ESP,32.265,33.082,2.039,0.925,0.021
LBY,86.41,113.278,16.655,2.976,0.509
MYS,0.17,0.225,0.102,0.021,0.001
HRV,9.647,10.135,5.26,2.288,0.064
GEO,5.691,4.78,3.598,3.06,0.68
DOM,37.272,42.64,8.38,3.373,0.153
CZE,14.372,15.144,5.885,3.245,0.112
VEN,60.155,74.711,20.957,7.657,0.377
NPL,13.333,13.807,10.628,2.518,0.103
MEX,77.607,96.318,12.73,5.35,0.231
CHE,8.803,10.77,6.653,2.334,0.135
JOR,28.894,38.538,4.559,1.716,0.118
IRQ,45.558,59.075,38.114,0.824,0.112
IDN,26.612,46.294,16.886,1.011,0.107
BEN,21.697,28.941,6.276,0.775,0.063
TCD,8.835,14.033,4.444,0.504,0.048
BTN,45.05,61.716,3.628,0.704,0.068
KAZ,16.528,25.921,22.271,5.321,0.51
DNK,0.104,0.109,0.073,0.028,0.001
GHA,,68.045,15.416,2.244,0.194
GAB,27.62,40.494,4.397,2.397,1.161
PNG,32.256,35.835,21.279,3.414,0.185
SAU,7.15,7.905,0.497,0.086,0.007
KEN,26.186,37.764,5.812,0.892,0.183
YEM,5.663,9.164,9.027,0.149,0.036
IRN,6.306,7.721,1.18,0.59,0.024
QAT,140.894,183.596,166.45,2.993,0.417
KOR,1.116,1.362,0.282,0.153,0.003
RUS,6.545,5.807,2.816,2.13,0.139
EGY,19.395,20.484,4.999,1.552,0.099
SVK,0.649,0.635,0.272,0.155,0.005
SLV,9.839,12.173,1.235,0.457,0.057
UKR,3.021,1.766,1.129,0.889,0.26
DEU,16.718,14.836,7.445,3.108,0.083
POL,0.21,0.152,0.114,0.082,0.004
KHM,56.13,66.914,13.083,1.16,0.185
ARG,123.273,146.103,6.001,1.296,0.139
COL,27.138,26.442,5.346,2.262,0.072
MLT,0.815,0.897,0.443,0.109,0.006
THA,42.104,65.791,3.114,2.032,0.101
PAK,2.14,4.414,1.905,0.424,0.126
ARE,77.954,99.6,99.023,1.342,0.325
BFA,15.92,22.49,10.148,0.292,0.104
LUX,47.514,48.292,31.393,15.255,0.511
SYR,29.194,39.991,4.72,0.168,0.159
PAN,4.674,5.704,0.418,0.14,0.018
GBR,0.082,0.088,0.058,0.015,0.001
ARM,3.356,2.232,1.066,0.428,0.013
UZB,34.886,42.469,5.571,0.458,0.105
LBN,2.178,3.078,0.908,0.32,0.015
AUT,12.027,9.887,4.433,0.964,0.051
CUB,0.945,1.125,1.013,0.761,0.049
VNM,30.001,36.674,17.695,5.706,0.191
ZAF,35.86,47.793,3.583,0.84,0.122
PER,12.695,13.538,1.583,0.219,0.023
FIN,3.253,3.102,2.159,0.332,0.019
AFG,1.135,1.554,0.839,0.141,0.01
CHL,0.025,0.033,0.011,0.004,0.0
SDN,42.732,54.133,53.985,0.835,0.257
TZA,0.125,0.31,0.139,0.013,0.003
MDA,53.336,76.374,25.745,10.33,0.453
FRA,5.468,4.522,2.327,0.939,0.028
AZE,23.413,24.559,15.138,7.663,0.329
KGZ,5.775,8.395,2.215,0.645,0.334
SVN,0.312,0.349,0.257,0.1,0.002
GMB,9.077,17.506,8.081,0.363,0.097
GRC,36.662,37.588,9.452,3.395,0.092
MNG,43.389,52.013,4.623,1.602,0.591
NLD,46.22,52.26,3.623,1.179,0.046
LTU,32.503,35.134,1.576,0.963,0.066
ISR,28.963,37.845,2.488,1.427,0.199
LVA,12.62,13.685,3.916,2.505,0.107
TUR,23.235,30.973,3.588,1.841,0.095
OMN,12.39,16.376,16.357,0.534,0.062
FJI,0.267,0.179,0.056,0.021,0.001
ETH,8.203,11.743,4.497,0.429,0.08
ECU,25.548,32.706,5.528,0.77,0.108
CAF,4.931,8.006,4.348,0.311,0.075
AUS,0.221,0.231,0.235,0.076,0.008
NOR,2.656,2.708,1.249,0.177,0.012
CHN,6.813,8.656,1.896,0.847,0.02
HUN,19.894,21.059,3.89,0.971,0.072
BHR,38.787,48.431,7.99,1.327,0.124
BDI,0.024,0.045,0.035,0.072,0.072
PRI,20.139,19.611,8.904,6.142,0.211
VUT,38.326,43.252,26.278,1.385,0.205
CAN,2.079,2.4,1.672,0.471,0.046
MOZ,6.714,9.431,4.258,0.155,0.042
ISL,1.813,1.7,1.203,0.127,0.008
TUN,48.761,63.72,4.477,2.37,0.14
ALB,43.186,48.005,21.758,10.154,0.337
BGR,14.414,15.927,6.502,2.567,0.074
SWE,33.117,37.906,11.812,1.705,0.157
