country,PWID,PWID + Campaign,PWID + Campaign + Prison,PWID + Campaign + Prison + Schools,PWID + Campaign + Prison + Schools + Adults
ROU,3.168,3.372,1.155,0.559,0.011
UGA,12.214,18.412,0.671,0.033,0.012
PHL,34.289,46.021,1.045,0.096,0.01
COD,9.905,15.193,4.146,0.002,0.006
BRA,2.786,3.574,0.376,0.23,0.008
EST,4.146,4.146,1.813,0.577,0.035
NZL,0.021,0.023,0.013,0.004,0.0
BGD,16.626,21.802,3.827,0.624,0.02
MDG,1.722,2.508,0.219,0.044,0.002
DZA,14.474,16.507,1.146,0.398,0.012
NGA,6.047,9.134,4.252,0.389,0.021
TWN,8.832,9.9,0.67,0.432,0.008
CMR,15.5,23.063,3.324,0.193,0.031
JPN,1.747,2.076,0.972,0.317,0.004
MAR,9.822,11.536,1.529,0.776,0.028
RWA,0.105,0.162,1.173,0.258,0.046
BEL,9.38,9.135,2.387,0.294,0.018
ITA,2.861,2.61,1.727,0.988,0.018
IRL,9.177,8.752,5.921,0.723,0.053
TJK,1.846,3.041,0.682,0.194,0.029
PRT,7.608,8.339,1.062,0.403,0.007
USA,0.031,0.034,0.112,0.057,0.006
IND,10.4,17.45,6.271,0.936,0.021
ESP,6.219,6.452,0.308,0.15,0.002
LBY,35.828,47.381,6.501,0.616,0.085
MYS,0.047,0.066,0.026,0.005,0.0
HRV,3.111,3.193,1.441,0.644,0.012
GEO,1.343,1.15,0.838,0.729,0.128
DOM,9.945,11.477,1.368,0.672,0.022
CZE,3.159,3.155,1.044,0.612,0.015
VEN,25.718,32.536,7.362,2.65,0.075
NPL,4.263,4.439,3.248,0.807,0.02
MEX,26.618,33.208,2.712,1.245,0.035
CHE,2.429,3.02,1.665,0.53,0.017
JOR,14.629,17.715,1.942,0.679,0.026
IRQ,42.28,54.725,32.406,0.573,0.029
IDN,9.122,15.483,4.714,0.176,0.017
BEN,9.986,12.939,1.577,0.195,0.009
TCD,5.745,9.093,2.448,0.264,0.014
BTN,12.33,17.034,0.772,0.098,0.008
KAZ,2.997,4.472,6.819,1.544,0.116
DNK,0.026,0.03,0.018,0.008,0.0
GHA,,39.447,6.817,0.87,0.035
GAB,9.67,14.345,1.074,0.455,0.187
PNG,10.566,11.668,6.243,0.988,0.03
SAU,1.788,2.139,0.07,0.011,0.001
KEN,11.263,16.48,2.048,0.191,0.028
YEM,3.338,5.788,5.699,0.066,0.006
IRN,1.543,2.021,0.257,0.136,0.004
QAT,100.791,129.749,117.634,1.719,0.067
KOR,0.306,0.402,0.076,0.042,0.001
RUS,1.49,1.35,0.544,0.429,0.021
EGY,8.747,9.043,2.207,0.629,0.023
SVK,0.13,0.135,0.058,0.035,0.001
SLV,3.76,4.588,0.375,0.111,0.012
UKR,0.646,0.394,0.246,0.185,0.044
DEU,4.924,4.496,2.254,0.996,0.018
POL,0.037,0.028,0.022,0.016,0.001
KHM,28.499,33.91,4.561,0.227,0.031
ARG,59.751,70.451,1.512,0.24,0.02
COL,8.302,8.098,1.338,0.672,0.016
MLT,0.237,0.275,0.099,0.02,0.001
THA,13.776,21.498,0.849,0.562,0.017
PAK,0.593,1.236,0.504,0.089,0.02
ARE,63.841,80.95,80.484,0.51,0.062
BFA,9.088,12.674,5.165,0.057,0.016
LUX,12.054,12.542,6.883,3.625,0.083
SYR,15.644,21.337,2.407,0.01,0.021
PAN,1.892,2.354,0.133,0.031,0.004
GBR,0.02,0.022,0.013,0.003,0.0
ARM,0.758,0.546,0.255,0.112,0.002
UZB,11.0,12.94,1.262,0.055,0.01
LBN,0.887,1.279,0.364,0.125,0.004
AUT,2.918,2.475,1.062,0.197,0.009
CUB,0.163,0.195,0.381,0.292,0.013
VNM,9.225,11.349,4.216,1.547,0.035
ZAF,11.269,14.896,0.697,0.113,0.014
PER,3.894,4.267,0.362,0.037,0.004
FIN,0.675,0.701,0.445,0.055,0.003
AFG,0.302,0.436,0.227,0.04,0.002
CHL,0.009,0.011,0.003,0.001,0.0
SDN,32.174,40.48,40.371,0.383,0.046
TZA,0.032,0.083,0.036,0.002,0.0
MDA,25.177,34.217,9.15,3.664,0.091
FRA,1.343,1.163,0.556,0.248,0.005
AZE,5.345,5.633,3.975,2.186,0.065
KGZ,1.383,2.082,0.422,0.063,0.049
SVN,0.066,0.079,0.054,0.024,0.0
GMB,5.079,11.434,5.653,0.115,0.025
GRC,16.625,16.872,3.119,1.131,0.018
MNG,19.752,23.129,1.053,0.243,0.09
NLD,18.624,21.156,1.381,0.411,0.008
LTU,10.492,10.875,0.263,0.16,0.006
ISR,16.377,19.141,1.15,0.599,0.038
LVA,2.612,2.69,0.722,0.468,0.013
TUR,11.654,13.774,1.444,0.724,0.024
OMN,4.585,5.771,5.765,0.152,0.008
FJI,0.077,0.056,0.016,0.007,0.0
ETH,2.756,4.002,1.565,0.093,0.017
ECU,22.18,28.567,4.247,0.321,0.034
CAF,2.117,3.389,1.815,0.096,0.011
AUS,0.048,0.051,0.066,0.017,0.002
NOR,0.784,0.843,0.374,0.036,0.002
CHN,2.154,2.93,0.565,0.27,0.004
HUN,5.354,5.789,1.294,0.222,0.015
BHR,31.816,39.04,4.989,0.51,0.034
BDI,0.002,0.004,0.005,0.005,0.012
PRI,4.934,4.833,1.769,1.292,0.033
VUT,12.33,13.869,7.295,0.284,0.031
CAN,0.614,0.724,0.429,0.082,0.007
MOZ,2.141,2.952,1.012,0.02,0.005
ISL,0.412,0.422,0.272,0.022,0.001
TUN,17.74,23.374,1.426,0.735,0.024
ALB,13.509,15.018,5.404,2.662,0.056
BGR,3.833,4.083,1.457,0.582,0.01
SWE,11.628,13.24,3.948,0.336,0.027
