country,PWID,PWID + Campaign,PWID + Campaign + Prison,PWID + Campaign + Prison + Schools,PWID + Campaign + Prison + Schools + Adults
ROU,19.981,22.811,9.381,4.104,0.153
UGA,27.127,41.75,2.17,0.556,0.219
PHL,85.693,113.172,5.507,1.113,0.169
COD,20.05,31.323,4.897,0.104,0.083
BRA,8.42,10.425,1.41,0.852,0.049
EST,28.697,29.629,12.598,5.289,0.384
NZL,0.114,0.123,0.061,0.028,-0.0
BGD,63.355,82.26,13.918,3.076,0.314
MDG,8.534,12.765,2.137,0.403,0.037
DZA,51.035,58.172,6.705,2.394,0.166
NGA,20.237,30.736,14.421,1.88,0.282
TWN,39.201,45.439,7.13,4.327,0.169
CMR,45.735,71.207,14.403,1.433,0.246
JPN,14.143,15.861,9.326,2.398,0.05
MAR,30.465,34.963,5.267,2.894,0.206
RWA,1.877,3.252,5.366,1.786,0.322
BEL,35.046,33.779,8.227,1.977,0.133
ITA,23.152,20.333,14.214,6.717,0.186
IRL,40.692,37.585,22.149,5.159,0.424
TJK,11.881,20.348,6.764,2.108,0.46
PRT,33.848,38.311,8.277,2.803,0.1
USA,0.42,0.452,0.794,0.402,0.038
IND,39.216,66.045,19.874,3.748,0.224
ESP,27.014,28.026,1.87,0.857,0.024
LBY,110.519,144.842,21.313,6.009,1.09
MYS,0.282,0.368,0.183,0.041,0.002
HRV,12.415,12.398,5.798,2.606,0.092
GEO,11.089,9.324,7.154,6.089,1.48
DOM,60.73,70.274,18.085,6.425,0.334
CZE,22.55,21.36,7.735,4.202,0.172
VEN,80.311,99.631,28.789,11.332,0.725
NPL,19.667,20.362,15.89,3.836,0.196
MEX,109.716,136.452,21.625,9.127,0.497
CHE,11.144,13.562,8.422,3.332,0.249
JOR,34.8,46.312,5.651,2.369,0.205
IRQ,47.061,61.104,40.823,1.199,0.241
IDN,37.897,66.504,25.335,2.121,0.216
BEN,28.37,38.292,9.75,1.339,0.153
TCD,10.767,17.212,5.675,0.726,0.091
BTN,71.075,98.207,6.272,1.681,0.176
KAZ,32.134,52.718,34.833,9.139,0.932
DNK,0.144,0.146,0.1,0.037,0.001
GHA,,83.319,20.077,3.507,0.448
GAB,38.528,56.604,7.08,5.283,2.801
PNG,46.485,52.078,31.901,5.556,0.411
SAU,8.72,9.333,0.604,0.111,0.008
KEN,33.34,48.098,7.855,1.848,0.431
YEM,6.803,10.802,10.64,0.263,0.084
IRN,10.71,12.834,2.034,1.028,0.051
QAT,156.899,205.212,186.068,4.218,1.006
KOR,1.424,1.655,0.316,0.177,0.004
RUS,11.085,9.852,3.883,2.91,0.216
EGY,23.078,24.389,5.969,2.081,0.168
SVK,0.854,0.825,0.327,0.185,0.007
SLV,13.51,16.783,1.801,0.813,0.102
UKR,6.129,3.597,2.221,1.905,0.614
DEU,22.027,19.318,9.209,3.897,0.126
POL,0.271,0.195,0.143,0.1,0.005
KHM,69.082,82.456,17.833,2.468,0.413
ARG,153.677,181.876,9.153,2.654,0.329
COL,41.33,40.4,9.018,3.519,0.128
MLT,1.134,1.232,0.632,0.178,0.009
THA,59.915,93.705,4.747,3.213,0.211
PAK,3.377,7.019,3.093,0.899,0.304
ARE,83.929,107.575,106.952,2.56,0.764
BFA,19.367,27.509,12.678,0.742,0.263
LUX,77.742,78.869,52.681,24.478,0.967
SYR,34.939,48.03,5.807,0.549,0.397
PAN,6.006,7.278,0.501,0.22,0.029
GBR,0.101,0.108,0.072,0.022,0.001
ARM,6.307,4.124,1.874,0.726,0.026
UZB,51.656,64.459,9.233,1.269,0.313
LBN,2.831,3.948,1.167,0.442,0.026
AUT,14.978,12.186,5.406,1.375,0.073
CUB,1.713,2.05,1.403,1.076,0.086
VNM,46.703,57.552,30.952,9.222,0.359
ZAF,52.698,71.008,6.33,2.023,0.32
PER,19.015,20.195,2.699,0.459,0.045
FIN,4.152,3.886,2.795,0.486,0.026
AFG,1.838,2.472,1.341,0.226,0.019
