country,PWID,PWID + Campaign,PWID + Campaign + Prison,PWID + Campaign + Prison + Schools,PWID + Campaign + Prison + Schools + Adults
ROU,21.881,25.171,10.381,4.54,0.176
UGA,27.887,42.962,2.267,0.671,0.262
PHL,88.837,117.305,5.868,1.293,0.2
COD,20.546,32.13,4.936,0.127,0.097
BRA,8.78,10.854,1.481,0.903,0.053
EST,31.829,33.008,13.838,5.986,0.434
NZL,0.124,0.132,0.065,0.031,-0.001
BGD,66.454,86.268,14.572,3.368,0.367
MDG,9.119,13.689,2.36,0.451,0.044
DZA,53.371,60.849,7.168,2.612,0.192
NGA,21.167,32.198,15.077,2.066,0.322
TWN,41.676,48.472,7.912,4.825,0.199
CMR,47.914,74.776,15.291,1.618,0.275
JPN,15.791,17.699,10.632,2.655,0.057
MAR,31.657,36.296,5.488,3.07,0.226
RWA,2.149,3.769,5.735,2.01,0.357
BEL,36.763,35.415,8.557,2.192,0.147
ITA,25.993,22.879,16.12,7.441,0.208
IRL,43.098,39.746,23.216,5.745,0.469
TJK,12.947,22.346,7.545,2.41,0.542
PRT,35.967,40.79,9.073,3.088,0.116
USA,0.481,0.518,0.892,0.455,0.042
IND,41.152,69.326,20.782,4.054,0.25
ESP,28.638,29.714,2.006,0.926,0.026
LBY,114.736,150.379,22.114,6.882,1.251
MYS,0.31,0.404,0.205,0.046,0.002
HRV,13.071,13.035,6.093,2.772,0.102
GEO,12.719,10.713,8.255,7.042,1.72
DOM,66.079,76.748,20.853,7.216,0.381
CZE,24.881,23.628,8.498,4.615,0.194
VEN,84.039,104.293,30.236,12.164,0.811
NPL,20.973,21.718,16.989,4.142,0.218
MEX,115.999,144.356,23.591,10.034,0.568
CHE,11.584,14.081,8.756,3.57,0.277
JOR,35.789,47.615,5.842,2.519,0.225
IRQ,47.321,61.461,41.3,1.312,0.278
IDN,40.106,70.507,27.042,2.435,0.243
BEN,29.617,40.061,10.46,1.483,0.18
TCD,11.136,17.83,5.911,0.782,0.103
BTN,76.64,106.17,6.864,1.976,0.209
KAZ,36.013,59.703,37.801,10.168,1.039
DNK,0.155,0.157,0.108,0.04,0.0
GHA,,86.11,20.93,3.834,0.524
GAB,40.631,59.764,7.671,6.161,3.313
PNG,49.295,55.331,34.083,6.082,0.475
SAU,9.291,9.88,0.67,0.125,0.009
KEN,34.591,49.86,8.233,2.138,0.505
YEM,6.994,11.08,10.914,0.297,0.098
IRN,11.734,14.025,2.224,1.133,0.057
QAT,159.548,208.801,189.328,4.547,1.187
KOR,1.513,1.744,0.333,0.188,0.004
RUS,12.364,11.02,4.276,3.209,0.242
EGY,23.689,25.03,6.133,2.204,0.185
SVK,0.935,0.902,0.353,0.2,0.008
SLV,14.226,17.691,1.917,0.909,0.114
UKR,7.069,4.164,2.534,2.219,0.723
DEU,23.389,20.47,9.692,4.137,0.138
POL,0.302,0.217,0.158,0.11,0.006
KHM,71.336,85.16,18.712,2.86,0.481
ARG,158.896,187.89,9.779,3.041,0.386
COL,44.416,43.46,9.885,3.811,0.142
MLT,1.215,1.317,0.692,0.201,0.01
THA,63.338,99.094,5.079,3.481,0.239
PAK,3.644,7.598,3.363,1.039,0.359
ARE,84.939,108.939,108.308,2.933,0.898
BFA,19.979,28.405,13.13,0.895,0.314
LUX,85.168,86.479,58.498,26.954,1.088
SYR,35.906,49.39,6.004,0.676,0.471
PAN,6.246,7.561,0.524,0.244,0.033
GBR,0.109,0.117,0.078,0.025,0.001
ARM,7.113,4.649,2.075,0.8,0.029
UZB,55.063,69.102,10.033,1.545,0.383
LBN,2.948,4.101,1.213,0.469,0.028
AUT,16.09,13.067,5.78,1.529,0.08
CUB,1.889,2.263,1.483,1.148,0.095
VNM,50.443,62.344,34.314,10.06,0.399
ZAF,56.075,75.757,6.956,2.388,0.383
PER,20.339,21.601,2.955,0.526,0.05
FIN,4.546,4.235,3.076,0.549,0.029
AFG,1.994,2.675,1.454,0.246,0.021
CHL,0.033,0.044,0.014,0.007,0.001
SDN,48.066,61.127,60.96,1.839,0.727
TZA,0.221,0.543,0.253,0.036,0.008
MDA,73.295,106.245,37.821,16.625,1.062
FRA,7.731,6.334,3.245,1.278,0.046
AZE,47.103,50.582,28.498,13.898,0.715
KGZ,10.964,15.858,4.716,2.42,1.013
SVN,0.432,0.473,0.351,0.127,0.003
GMB,12.15,22.177,9.984,0.915,0.233
GRC,44.928,45.915,11.755,4.549,0.178
MNG,59.245,70.859,8.197,4.799,1.76
NLD,60.156,67.969,4.771,1.787,0.107
LTU,33.017,36.329,2.092,1.404,0.157
ISR,35.361,45.753,3.314,2.251,0.466
LVA,19.315,19.604,4.609,3.05,0.164
TUR,28.711,38.097,4.634,2.59,0.171
OMN,14.167,19.173,19.152,0.848,0.136
FJI,0.444,0.29,0.093,0.035,0.002
ETH,12.246,17.478,6.465,0.936,0.161
ECU,28.264,36.0,6.518,1.561,0.238
CAF,6.216,10.243,5.571,0.601,0.178
AUS,0.348,0.363,0.329,0.134,0.012
NOR,3.622,3.6,1.623,0.321,0.021
CHN,10.696,13.011,2.975,1.331,0.038
HUN,30.189,31.898,4.9,1.709,0.131
BHR,42.797,53.261,9.577,2.437,0.29
BDI,0.07,0.151,0.091,0.273,0.209
PRI,37.504,37.186,15.649,10.499,0.421
VUT,59.932,68.267,44.463,3.357,0.572
CAN,2.541,2.926,2.022,0.799,0.079
MOZ,10.676,15.357,7.68,0.487,0.133
ISL,2.735,2.496,1.854,0.236,0.015
TUN,69.283,90.449,6.688,3.889,0.321
ALB,68.58,76.908,38.674,18.227,0.775
BGR,20.994,23.482,8.475,3.558,0.148
SWE,44.49,51.306,15.559,3.511,0.318
