country,PWID,PWID + Campaign,PWID + Campaign + Prison,PWID + Campaign + Prison + Schools,PWID + Campaign + Prison + Schools + Adults
ROU,11.164,12.115,4.836,2.152,0.064
UGA,22.355,33.65,1.619,0.212,0.084
PHL,67.211,87.33,3.582,0.499,0.067
COD,16.984,26.299,4.65,0.033,0.035
BRA,6.463,8.076,1.033,0.61,0.03
EST,15.317,15.435,6.918,2.561,0.179
NZL,0.069,0.075,0.041,0.016,0.001
BGD,46.081,59.438,10.226,1.901,0.132
MDG,5.558,8.044,1.131,0.207,0.014
DZA,36.199,40.862,4.157,1.398,0.072
NGA,15.013,22.442,10.567,1.129,0.126
TWN,25.373,28.106,3.644,2.209,0.066
CMR,33.722,50.602,9.619,0.742,0.13
JPN,7.398,8.353,4.54,1.297,0.023
MAR,23.043,26.553,3.906,2.017,0.118
RWA,0.84,1.373,3.522,0.96,0.178
BEL,24.554,23.749,6.029,1.087,0.073
ITA,11.705,10.186,6.968,3.603,0.09
IRL,27.759,25.848,15.974,2.829,0.233
TJK,7.009,11.4,3.457,0.993,0.186
PRT,21.625,23.381,4.44,1.513,0.04
USA,0.194,0.21,0.422,0.212,0.022
IND,28.276,47.058,14.517,2.4,0.108
ESP,18.006,18.644,1.157,0.524,0.012
LBY,77.527,100.101,14.762,2.641,0.451
MYS,0.164,0.217,0.099,0.021,0.001
HRV,8.562,8.622,4.049,1.761,0.05
GEO,5.522,4.63,3.493,2.973,0.665
DOM,36.131,41.022,8.097,3.259,0.148
CZE,12.306,11.72,4.311,2.377,0.082
VEN,59.164,73.217,20.404,7.455,0.367
NPL,12.941,13.384,10.306,2.442,0.1
MEX,75.599,93.28,12.251,5.149,0.223
CHE,8.337,10.17,6.257,2.197,0.128
JOR,28.426,37.665,4.423,1.665,0.115
IRQ,45.178,58.395,37.646,0.815,0.111
IDN,26.459,45.812,16.522,0.989,0.105
BEN,21.304,27.716,6.073,0.75,0.061
TCD,8.634,13.616,4.254,0.482,0.046
BTN,43.903,59.4,3.496,0.678,0.066
KAZ,16.31,25.398,21.609,5.163,0.495
DNK,0.089,0.094,0.061,0.024,0.001
GHA,,66.483,15.142,2.205,0.191
GAB,26.723,38.358,4.15,2.29,1.116
PNG,31.528,34.871,20.62,3.309,0.18
SAU,5.82,6.458,0.331,0.057,0.005
KEN,25.951,37.128,5.71,0.876,0.18
YEM,5.202,8.153,8.032,0.134,0.033
IRN,5.832,6.988,1.071,0.536,0.022
QAT,133.361,170.562,154.63,2.788,0.392
KOR,0.951,1.142,0.22,0.119,0.002
RUS,5.566,4.835,2.015,1.524,0.1
EGY,18.058,19.068,4.656,1.445,0.092
SVK,0.491,0.483,0.199,0.113,0.004
SLV,9.67,11.928,1.192,0.441,0.055
UKR,2.902,1.69,1.082,0.857,0.255
DEU,14.593,12.931,6.359,2.655,0.071
POL,0.148,0.107,0.08,0.058,0.003
KHM,55.549,65.846,12.78,1.133,0.181
ARG,119.882,139.734,5.751,1.242,0.134
COL,24.937,24.225,4.972,2.104,0.067
MLT,0.72,0.792,0.361,0.089,0.005
THA,41.544,64.423,3.024,1.973,0.099
PAK,2.1,4.266,1.845,0.412,0.123
ARE,74.654,93.95,93.406,1.271,0.309
BFA,15.613,21.711,9.792,0.283,0.1
LUX,43.925,44.43,28.021,13.617,0.458
SYR,26.192,34.497,4.056,0.154,0.141
PAN,4.543,5.513,0.362,0.122,0.016
GBR,0.064,0.069,0.045,0.012,0.001
ARM,3.262,2.154,1.031,0.414,0.013
UZB,34.386,41.355,5.467,0.45,0.103
LBN,2.022,2.823,0.82,0.289,0.014
AUT,9.508,7.832,3.495,0.76,0.04
CUB,0.935,1.112,0.995,0.748,0.048
VNM,29.308,35.576,17.197,5.546,0.185
ZAF,34.718,44.58,3.385,0.795,0.116
PER,12.299,13.046,1.521,0.211,0.022
FIN,2.475,2.382,1.638,0.252,0.015
AFG,1.115,1.522,0.819,0.138,0.01
CHL,0.023,0.029,0.009,0.003,0.0
SDN,42.158,52.96,52.815,0.82,0.253
TZA,0.124,0.306,0.136,0.013,0.003
MDA,52.569,75.222,25.356,10.174,0.446
FRA,4.48,3.717,1.87,0.755,0.023
AZE,22.359,23.098,14.212,7.195,0.309
KGZ,5.706,8.25,2.175,0.637,0.33
SVN,0.238,0.268,0.191,0.074,0.002
GMB,8.878,16.894,7.738,0.348,0.093
GRC,30.812,31.193,7.627,2.739,0.075
MNG,42.536,49.863,4.507,1.569,0.58
NLD,43.445,48.813,3.372,1.098,0.043
LTU,22.083,23.53,1.103,0.674,0.047
ISR,28.069,36.281,2.373,1.362,0.189
LVA,9.768,9.827,2.577,1.649,0.071
TUR,22.584,29.925,3.438,1.764,0.091
OMN,11.599,15.015,14.998,0.491,0.058
FJI,0.261,0.175,0.055,0.021,0.001
ETH,8.14,11.624,4.421,0.422,0.078
ECU,25.118,31.936,5.354,0.746,0.104
CAF,4.868,7.868,4.266,0.305,0.074
AUS,0.186,0.194,0.2,0.065,0.007
NOR,2.326,2.376,1.082,0.154,0.011
CHN,6.744,8.543,1.867,0.834,0.02
HUN,17.65,18.699,3.308,0.826,0.062
BHR,37.764,46.56,7.588,1.261,0.118
BDI,0.023,0.044,0.034,0.071,0.07
PRI,17.807,16.98,7.109,4.904,0.169
VUT,36.899,41.249,24.714,1.304,0.194
CAN,1.771,2.05,1.398,0.394,0.039
MOZ,6.587,9.076,4.054,0.148,0.04
ISL,1.507,1.425,1.001,0.106,0.007
TUN,46.493,59.974,4.175,2.211,0.13
ALB,41.402,45.675,20.777,9.697,0.322
BGR,11.959,12.815,4.733,1.869,0.055
SWE,29.75,33.968,10.47,1.512,0.138
