country,PWID,PWID + Campaign,PWID + Campaign + Prison,PWID + Campaign + Prison + Schools,PWID + Campaign + Prison + Schools + Adults
ROU,13.104,14.659,5.766,2.565,0.076
UGA,23.18,36.626,1.734,0.226,0.09
PHL,69.844,95.672,3.889,0.542,0.073
COD,17.241,26.974,4.717,0.033,0.035
BRA,6.542,8.187,1.052,0.621,0.03
EST,17.902,18.238,8.039,2.975,0.207
NZL,0.075,0.082,0.044,0.018,0.001
BGD,47.637,62.813,10.716,1.991,0.138
MDG,5.942,9.046,1.267,0.232,0.016
DZA,42.157,48.739,4.881,1.64,0.085
NGA,15.556,23.932,11.449,1.221,0.135
TWN,28.406,33.384,4.06,2.461,0.073
CMR,35.523,56.925,10.78,0.831,0.146
JPN,8.088,9.306,5.048,1.443,0.026
MAR,24.976,28.951,4.304,2.223,0.13
RWA,0.864,1.424,3.874,1.056,0.195
BEL,27.513,26.586,6.714,1.21,0.081
ITA,13.644,12.097,8.203,4.242,0.106
IRL,29.391,27.448,17.044,3.019,0.248
TJK,7.46,12.887,3.913,1.111,0.201
PRT,25.334,29.151,5.251,1.788,0.047
USA,0.208,0.224,0.453,0.227,0.023
IND,29.716,50.954,15.818,2.613,0.117
ESP,19.927,20.686,1.266,0.574,0.013
LBY,104.175,139.632,20.44,3.648,0.626
MYS,0.182,0.242,0.109,0.023,0.001
HRV,9.428,9.515,4.446,1.934,0.055
GEO,6.029,5.082,3.809,3.236,0.71
DOM,39.556,45.875,8.945,3.6,0.163
CZE,13.933,13.187,4.751,2.619,0.09
VEN,62.138,77.7,22.065,8.061,0.396
NPL,14.117,14.655,11.27,2.67,0.109
MEX,81.623,102.394,13.69,5.753,0.248
CHE,8.852,10.887,6.718,2.357,0.137
JOR,29.831,40.284,4.831,1.818,0.125
IRQ,46.319,60.436,39.051,0.843,0.115
IDN,26.917,47.258,17.613,1.055,0.111
BEN,22.482,31.391,6.684,0.825,0.067
TCD,9.236,14.866,4.824,0.547,0.052
BTN,47.343,66.348,3.892,0.754,0.073
KAZ,16.962,26.965,23.593,5.636,0.539
DNK,0.095,0.1,0.066,0.026,0.001
GHA,,71.168,15.964,2.323,0.201
GAB,29.415,44.765,4.892,2.611,1.251
PNG,33.711,37.764,22.596,3.625,0.196
SAU,5.983,6.652,0.344,0.059,0.005
KEN,26.656,39.035,6.015,0.922,0.19
YEM,6.585,11.186,11.019,0.179,0.043
IRN,7.254,9.186,1.398,0.699,0.028
QAT,149.934,198.402,179.878,3.227,0.446
KOR,1.0,1.223,0.237,0.129,0.002
RUS,7.049,6.312,2.589,1.958,0.128
EGY,22.07,23.316,5.686,1.765,0.112
SVK,0.53,0.523,0.219,0.125,0.004
SLV,10.179,12.662,1.321,0.489,0.06
UKR,3.259,1.919,1.223,0.954,0.27
DEU,16.066,14.262,7.031,2.935,0.079
POL,0.158,0.115,0.086,0.062,0.003
KHM,57.291,69.048,13.691,1.213,0.193
ARG,130.054,158.841,6.502,1.403,0.151
COL,31.541,30.874,6.093,2.578,0.082
MLT,0.802,0.89,0.401,0.099,0.006
THA,43.226,68.527,3.294,2.148,0.107
PAK,2.222,4.709,2.024,0.446,0.133
ARE,81.958,106.068,105.453,1.424,0.344
BFA,16.535,24.047,10.861,0.311,0.11
LUX,49.797,50.764,31.833,15.468,0.518
SYR,35.2,50.98,6.05,0.197,0.194
PAN,4.753,5.828,0.392,0.132,0.017
GBR,0.066,0.072,0.047,0.012,0.001
ARM,3.544,2.387,1.138,0.457,0.014
UZB,35.887,44.698,5.779,0.474,0.109
LBN,2.492,3.588,1.086,0.383,0.018
AUT,10.222,8.399,3.756,0.817,0.043
CUB,0.966,1.153,1.047,0.787,0.051
VNM,31.388,38.87,18.691,6.027,0.201
ZAF,38.145,54.218,3.977,0.932,0.135
PER,13.487,14.523,1.708,0.236,0.025
FIN,2.564,2.476,1.704,0.262,0.015
AFG,1.173,1.618,0.878,0.148,0.01
CHL,0.024,0.032,0.01,0.004,0.0
SDN,43.881,56.48,56.325,0.864,0.266
TZA,0.126,0.318,0.144,0.014,0.003
MDA,54.872,78.678,26.524,10.642,0.466
FRA,4.912,4.1,2.084,0.841,0.025
AZE,25.521,27.48,16.99,8.599,0.368
KGZ,5.913,8.686,2.295,0.66,0.343
SVN,0.251,0.283,0.203,0.079,0.002
GMB,9.475,18.731,8.766,0.392,0.105
GRC,39.715,40.883,9.352,3.358,0.091
MNG,45.097,56.313,4.856,1.666,0.614
NLD,47.161,53.72,3.716,1.209,0.048
LTU,23.956,25.731,1.174,0.717,0.05
ISR,29.664,39.1,2.555,1.465,0.204
LVA,11.17,11.39,2.944,1.883,0.08
TUR,24.537,33.069,3.888,1.994,0.103
OMN,12.148,16.079,16.061,0.524,0.061
FJI,0.279,0.188,0.059,0.022,0.001
ETH,8.327,11.983,4.649,0.444,0.082
ECU,26.408,34.246,5.876,0.816,0.114
CAF,5.059,8.281,4.513,0.322,0.078
