country,PWID,PWID + Campaign,PWID + Campaign + Prison,PWID + Campaign + Prison + Schools,PWID + Campaign + Prison + Schools + Adults
ROU,4.653,4.959,1.928,0.846,0.025
UGA,10.206,15.589,0.707,0.092,0.036
PHL,33.594,45.2,1.589,0.221,0.03
COD,8.597,13.175,4.008,0.016,0.017
BRA,3.159,4.013,0.558,0.33,0.017
EST,6.853,6.865,2.996,1.088,0.076
NZL,0.03,0.032,0.018,0.007,-0.0
BGD,19.453,25.451,4.687,0.87,0.061
MDG,2.4,3.523,0.505,0.092,0.006
DZA,17.225,19.655,2.024,0.679,0.035
NGA,6.286,9.43,4.847,0.516,0.06
TWN,10.064,11.548,1.465,0.887,0.026
CMR,14.57,22.018,5.299,0.403,0.073
JPN,3.088,3.471,1.974,0.561,0.01
MAR,12.046,14.006,2.18,1.127,0.071
RWA,0.409,0.67,1.991,0.542,0.103
BEL,10.026,9.519,2.493,0.449,0.031
ITA,5.466,4.836,3.437,1.763,0.044
IRL,11.831,11.096,7.84,1.39,0.123
TJK,2.995,4.854,1.594,0.446,0.076
PRT,8.54,9.254,1.925,0.654,0.017
USA,0.097,0.105,0.232,0.117,0.012
IND,13.724,23.022,7.976,1.309,0.058
ESP,6.678,6.875,0.425,0.193,0.004
LBY,38.724,50.961,7.99,1.429,0.255
MYS,0.079,0.105,0.048,0.01,0.001
HRV,3.399,3.364,1.788,0.774,0.023
GEO,2.497,2.101,1.594,1.349,0.277
DOM,16.165,18.338,3.684,1.476,0.067
CZE,5.504,5.361,1.992,1.093,0.038
VEN,22.869,29.114,8.954,3.26,0.166
NPL,5.05,5.159,3.955,0.905,0.037
MEX,33.628,41.294,5.619,2.353,0.102
CHE,3.474,4.31,2.509,0.888,0.065
JOR,14.141,18.897,2.353,0.887,0.067
IRQ,40.055,51.872,31.644,0.645,0.063
IDN,12.44,21.72,8.335,0.491,0.053
BEN,9.155,12.152,2.423,0.298,0.024
TCD,5.353,8.447,2.479,0.277,0.025
BTN,18.66,25.054,1.477,0.286,0.028
KAZ,7.443,11.676,11.624,2.754,0.269
DNK,0.037,0.04,0.027,0.011,0.0
GHA,,38.893,7.611,1.102,0.093
GAB,12.954,19.178,2.174,1.1,0.464
PNG,13.504,14.719,9.273,1.461,0.08
SAU,2.545,2.885,0.164,0.028,0.002
KEN,10.635,16.042,2.431,0.372,0.076
YEM,2.385,4.892,4.817,0.076,0.016
IRN,3.159,3.961,0.614,0.307,0.013
QAT,93.926,120.99,109.671,1.925,0.204
KOR,0.351,0.434,0.092,0.05,0.001
RUS,2.519,2.227,0.919,0.693,0.045
EGY,9.895,10.45,2.691,0.837,0.058
SVK,0.203,0.201,0.089,0.05,0.002
SLV,3.741,4.547,0.526,0.196,0.026
UKR,1.43,0.846,0.543,0.415,0.102
DEU,6.34,5.638,2.941,1.223,0.034
POL,0.063,0.046,0.036,0.026,0.001
KHM,25.242,29.896,5.867,0.519,0.083
ARG,51.477,60.795,2.312,0.499,0.054
COL,11.557,11.159,2.287,0.962,0.031
MLT,0.288,0.323,0.162,0.04,0.002
THA,15.836,23.501,1.241,0.81,0.042
PAK,0.92,1.901,0.824,0.178,0.05
ARE,60.136,76.253,75.811,0.96,0.17
BFA,8.724,12.264,5.254,0.145,0.049
LUX,17.332,16.907,11.447,5.493,0.184
SYR,13.614,18.646,2.123,0.074,0.069
PAN,1.511,1.826,0.136,0.046,0.007
GBR,0.028,0.031,0.021,0.006,0.0
ARM,1.487,0.975,0.468,0.188,0.006
UZB,12.998,15.98,2.09,0.172,0.039
LBN,1.12,1.612,0.508,0.179,0.009
AUT,3.628,2.981,1.44,0.313,0.017
CUB,0.451,0.54,0.543,0.408,0.027
VNM,11.768,14.177,6.669,2.104,0.07
ZAF,14.881,19.924,1.511,0.354,0.051
PER,5.287,5.616,0.694,0.097,0.011
FIN,0.962,0.94,0.684,0.105,0.006
AFG,0.577,0.806,0.452,0.076,0.005
CHL,0.01,0.013,0.004,0.002,0.0
SDN,28.67,36.238,36.14,0.507,0.128
TZA,0.058,0.145,0.066,0.006,0.001
MDA,20.191,25.753,11.951,4.754,0.207
FRA,1.775,1.478,0.827,0.334,0.01
AZE,10.074,10.4,6.961,3.486,0.15
KGZ,2.549,3.738,1.028,0.273,0.131
SVN,0.101,0.115,0.088,0.034,0.001
GMB,3.353,8.908,4.758,0.201,0.048
GRC,14.23,14.307,4.017,1.434,0.039
MNG,17.403,20.142,1.687,0.597,0.222
NLD,15.763,17.527,1.264,0.412,0.017
LTU,8.559,8.843,0.385,0.235,0.016
ISR,10.926,14.612,1.108,0.631,0.083
LVA,4.06,4.062,1.065,0.679,0.029
TUR,11.568,15.526,1.953,1.004,0.058
OMN,5.856,7.473,7.465,0.244,0.032
FJI,0.115,0.078,0.025,0.01,0.0
ETH,4.04,5.831,2.462,0.235,0.046
ECU,19.402,25.32,3.486,0.472,0.058
CAF,2.351,3.797,2.061,0.148,0.038
AUS,0.088,0.092,0.101,0.033,0.003
NOR,0.921,0.973,0.494,0.07,0.005
CHN,3.266,4.278,1.0,0.447,0.011
HUN,7.361,7.768,1.621,0.404,0.032
BHR,27.164,34.12,4.386,0.72,0.063
BDI,0.012,0.022,0.017,0.029,0.028
PRI,8.608,8.253,3.454,2.367,0.081
VUT,15.373,17.114,11.444,0.59,0.087
