country,PWID,PWID + Campaign,PWID + Campaign + Prison,PWID + Campaign + Prison + Schools,PWID + Campaign + Prison + Schools + Adults
ROU,8.038,5.848,2.522,1.112,0.037
UGA,22.58,33.948,1.639,0.215,0.085
PHL,67.363,85.445,3.604,0.503,0.068
COD,17.021,26.012,4.666,0.033,0.035
BRA,6.43,8.019,1.031,0.609,0.03
EST,11.609,10.12,4.605,1.683,0.123
NZL,0.071,0.077,0.041,0.017,0.001
BGD,45.376,53.416,10.013,1.863,0.131
MDG,5.531,7.172,1.054,0.193,0.014
DZA,36.513,40.189,4.193,1.41,0.073
NGA,14.855,20.936,10.216,1.094,0.125
TWN,24.673,25.174,3.486,2.113,0.064
CMR,33.449,41.464,9.402,0.725,0.13
JPN,6.682,7.168,4.013,1.145,0.021
MAR,23.401,26.869,3.988,2.06,0.121
RWA,0.819,1.321,3.456,0.943,0.177
BEL,21.98,20.693,5.356,0.966,0.067
ITA,10.723,8.609,6.066,3.125,0.08
IRL,26.503,24.081,15.547,2.757,0.232
TJK,7.012,10.239,3.2,0.929,0.186
PRT,19.192,15.59,3.795,1.293,0.036
USA,0.186,0.201,0.414,0.208,0.021
IND,28.501,46.389,14.583,2.41,0.109
ESP,15.387,15.729,1.027,0.466,0.01
LBY,83.827,104.058,16.195,2.901,0.5
MYS,0.166,0.22,0.1,0.021,0.001
HRV,7.956,7.706,3.788,1.646,0.048
GEO,4.932,4.046,3.075,2.633,0.634
DOM,34.009,33.823,6.851,2.755,0.13
CZE,11.561,10.293,3.852,2.121,0.075
VEN,57.165,67.834,19.232,7.026,0.355
NPL,12.05,12.187,9.411,2.211,0.093
MEX,72.707,82.719,11.432,4.804,0.211
CHE,8.49,10.388,6.396,2.246,0.132
JOR,28.777,38.163,4.53,1.706,0.118
IRQ,45.544,59.039,37.938,0.821,0.112
IDN,26.385,44.248,15.86,0.949,0.102
BEN,21.418,26.296,5.769,0.714,0.059
TCD,8.697,13.259,4.245,0.481,0.046
BTN,42.438,50.067,3.193,0.622,0.062
KAZ,15.916,23.931,20.671,4.934,0.482
DNK,0.09,0.094,0.062,0.024,0.001
GHA,,65.699,15.054,2.192,0.191
GAB,27.306,38.737,4.264,2.348,1.155
PNG,29.781,30.674,18.426,2.936,0.165
SAU,5.686,6.237,0.327,0.056,0.005
KEN,25.92,36.219,5.613,0.863,0.179
YEM,5.618,9.009,8.875,0.147,0.036
IRN,6.184,7.358,1.137,0.568,0.023
QAT,140.573,182.705,165.641,2.979,0.415
KOR,0.965,1.163,0.225,0.122,0.002
RUS,5.149,3.892,1.64,1.239,0.084
EGY,17.901,18.842,4.65,1.447,0.093
SVK,0.489,0.478,0.201,0.115,0.004
SLV,9.625,11.735,1.191,0.441,0.055
UKR,2.886,1.633,1.048,0.835,0.257
DEU,13.42,11.668,5.925,2.471,0.068
POL,0.144,0.105,0.079,0.057,0.003
KHM,55.029,64.042,12.444,1.106,0.178
ARG,119.37,135.702,5.761,1.246,0.135
COL,23.463,21.77,4.337,1.83,0.06
MLT,0.745,0.821,0.374,0.092,0.005
THA,40.974,58.883,2.974,1.941,0.099
PAK,2.1,4.265,1.848,0.414,0.124
ARE,77.857,99.345,98.769,1.339,0.324
BFA,15.78,21.669,9.797,0.284,0.101
LUX,38.807,35.519,23.479,11.345,0.398
SYR,28.892,38.742,4.571,0.167,0.157
PAN,4.571,5.521,0.369,0.124,0.016
GBR,0.064,0.069,0.045,0.012,0.001
ARM,3.266,2.13,1.023,0.411,0.013
UZB,33.283,35.863,5.112,0.426,0.1
LBN,2.173,3.068,0.906,0.319,0.015
AUT,8.276,6.679,3.121,0.679,0.037
CUB,0.942,1.119,1.008,0.758,0.049
VNM,28.68,32.655,16.006,5.144,0.176
ZAF,34.883,40.836,3.306,0.778,0.115
PER,12.192,12.582,1.478,0.205,0.022
FIN,2.277,2.167,1.519,0.234,0.014
AFG,1.12,1.503,0.814,0.137,0.01
CHL,0.023,0.03,0.009,0.003,0.0
SDN,42.616,53.729,53.583,0.83,0.257
TZA,0.124,0.308,0.138,0.013,0.003
MDA,41.297,25.194,21.944,8.802,0.4
FRA,4.092,3.351,1.774,0.716,0.022
AZE,21.416,19.688,12.961,6.539,0.29
KGZ,5.562,7.739,2.072,0.627,0.33
SVN,0.238,0.268,0.193,0.075,0.002
GMB,8.938,16.731,7.871,0.355,0.096
GRC,27.68,26.261,7.763,2.785,0.077
MNG,41.415,43.762,4.242,1.52,0.575
NLD,42.779,47.213,3.33,1.084,0.044
LTU,13.94,11.339,0.902,0.552,0.039
ISR,28.51,36.803,2.427,1.393,0.194
LVA,8.404,7.674,2.079,1.329,0.059
TUR,23.13,30.748,3.571,1.832,0.095
OMN,11.852,15.462,15.445,0.505,0.059
FJI,0.265,0.178,0.056,0.021,0.001
ETH,8.137,11.491,4.414,0.422,0.079
ECU,25.421,32.46,5.423,0.757,0.107
CAF,4.911,7.867,4.277,0.306,0.075
AUS,0.19,0.198,0.206,0.067,0.007
NOR,2.272,2.316,1.068,0.152,0.011
CHN,6.759,8.551,1.881,0.84,0.02
HUN,16.23,16.367,3.199,0.799,0.061
BHR,38.635,47.947,7.799,1.295,0.121
BDI,0.024,0.045,0.035,0.072,0.072
PRI,16.619,13.217,5.713,3.926,0.14
VUT,34.904,35.637,20.954,1.104,0.171
CAN,1.797,2.083,1.426,0.402,0.039
MOZ,6.562,8.364,3.444,0.127,0.036
ISL,1.456,1.37,0.97,0.103,0.007
TUN,47.202,58.76,4.275,2.264,0.135
ALB,40.708,42.951,19.414,9.028,0.306
BGR,9.487,7.564,3.534,1.39,0.044
SWE,26.988,29.698,9.605,1.393,0.134
