country,PWID,PWID + Campaign,PWID + Campaign + Prison,PWID + Campaign + Prison + Schools,PWID + Campaign + Prison + Schools + Adults
ROU,6.075,6.713,2.659,1.183,0.035
UGA,11.394,17.441,0.835,0.109,0.043
PHL,35.194,46.577,1.904,0.265,0.036
COD,8.582,13.335,2.349,0.017,0.018
BRA,3.395,4.245,0.544,0.321,0.016
EST,8.358,8.478,3.769,1.395,0.097
NZL,0.037,0.04,0.022,0.009,0.0
BGD,23.84,30.983,5.315,0.988,0.068
MDG,2.853,4.203,0.59,0.108,0.008
DZA,19.84,22.595,2.285,0.768,0.04
NGA,7.679,11.594,5.489,0.586,0.065
TWN,13.719,15.673,1.952,1.183,0.035
CMR,17.417,26.748,5.078,0.392,0.069
JPN,3.93,4.482,2.426,0.693,0.012
MAR,12.425,14.347,2.118,1.094,0.064
RWA,0.428,0.702,1.838,0.501,0.093
BEL,13.361,12.918,3.275,0.59,0.039
ITA,6.447,5.671,3.863,1.998,0.05
IRL,15.051,14.039,8.693,1.54,0.127
TJK,3.641,6.05,1.836,0.525,0.097
PRT,11.831,13.239,2.439,0.831,0.022
USA,0.105,0.113,0.228,0.114,0.012
IND,14.736,24.781,7.662,1.266,0.057
ESP,9.633,9.99,0.616,0.279,0.006
LBY,44.991,58.98,8.672,1.55,0.265
MYS,0.089,0.118,0.053,0.011,0.001
HRV,4.54,4.579,2.143,0.932,0.026
GEO,2.957,2.484,1.87,1.59,0.353
DOM,19.493,22.3,4.383,1.764,0.08
CZE,6.636,6.301,2.291,1.263,0.043
VEN,32.507,40.373,11.325,4.138,0.204
NPL,6.805,7.048,5.425,1.285,0.053
MEX,41.103,51.013,6.742,2.834,0.122
CHE,4.52,5.539,3.411,1.197,0.07
JOR,15.486,20.655,2.443,0.92,0.063
IRQ,23.738,30.781,19.859,0.429,0.058
IDN,13.575,23.616,8.614,0.516,0.055
BEN,10.959,14.618,3.17,0.392,0.032
TCD,4.445,7.06,2.236,0.254,0.024
BTN,23.229,31.823,1.871,0.363,0.035
KAZ,8.677,13.608,11.692,2.793,0.268
DNK,0.048,0.05,0.033,0.013,0.0
GHA,,34.699,7.861,1.144,0.099
GAB,14.497,21.254,2.308,1.258,0.609
PNG,16.629,18.474,10.97,1.76,0.096
SAU,2.999,3.331,0.171,0.029,0.002
KEN,13.312,19.197,2.954,0.453,0.093
YEM,2.859,4.626,4.557,0.075,0.018
IRN,3.255,3.986,0.609,0.305,0.012
QAT,72.726,94.762,85.912,1.545,0.215
KOR,0.497,0.602,0.116,0.063,0.001
RUS,3.114,2.757,1.139,0.861,0.056
EGY,10.142,10.711,2.614,0.811,0.052
SVK,0.258,0.254,0.105,0.06,0.002
SLV,5.04,6.235,0.633,0.234,0.029
UKR,1.549,0.906,0.579,0.456,0.133
DEU,7.851,6.967,3.432,1.432,0.038
POL,0.077,0.056,0.042,0.03,0.001
